,time,open,high,low,close,volume
0,2024-12-01 00:00:00+00:00,3703.59,3726.98,3703.5,3726.96,4321.3809
1,2024-12-01 00:15:00+00:00,3726.96,3727.42,3715.2,3721.82,4237.3129
2,2024-12-01 00:30:00+00:00,3721.82,3724.2,3695.4,3695.88,6155.1304
3,2024-12-01 00:45:00+00:00,3695.87,3705.0,3687.72,3688.54,7491.5353
4,2024-12-01 01:00:00+00:00,3688.55,3694.49,3676.0,3681.21,6959.0888
5,2024-12-01 01:15:00+00:00,3681.2,3693.33,3675.03,3691.39,5092.2668
6,2024-12-01 01:30:00+00:00,3691.4,3708.0,3690.02,3704.67,3280.865
7,2024-12-01 01:45:00+00:00,3704.65,3732.34,3702.63,3709.59,13601.5063
8,2024-12-01 02:00:00+00:00,3709.59,3713.53,3694.06,3698.18,8140.3603
9,2024-12-01 02:15:00+00:00,3698.18,3701.89,3688.89,3691.0,4267.3036
10,2024-12-01 02:30:00+00:00,3691.0,3691.01,3667.02,3667.39,8918.2129
11,2024-12-01 02:45:00+00:00,3667.39,3675.81,3659.2,3664.01,6014.6217
12,2024-12-01 03:00:00+00:00,3664.02,3685.41,3663.5,3684.23,3507.6102
13,2024-12-01 03:15:00+00:00,3684.24,3686.59,3671.0,3675.84,2588.7893
14,2024-12-01 03:30:00+00:00,3675.85,3687.07,3675.16,3685.32,2458.6383
15,2024-12-01 03:45:00+00:00,3685.32,3712.55,3684.84,3707.0,5744.973
16,2024-12-01 04:00:00+00:00,3707.0,3707.63,3695.21,3697.68,3583.3066
17,2024-12-01 04:15:00+00:00,3697.68,3701.6,3688.67,3697.49,3065.8776
18,2024-12-01 04:30:00+00:00,3697.48,3699.41,3688.2,3693.93,2898.0145
19,2024-12-01 04:45:00+00:00,3693.92,3705.84,3693.01,3702.21,2194.3151
20,2024-12-01 05:00:00+00:00,3702.2,3702.21,3686.68,3687.16,3258.6736
21,2024-12-01 05:15:00+00:00,3687.15,3692.8,3686.62,3690.45,2829.8635
22,2024-12-01 05:30:00+00:00,3690.45,3694.47,3682.01,3692.81,2346.4331
23,2024-12-01 05:45:00+00:00,3692.82,3692.99,3683.0,3683.26,3015.7297
24,2024-12-01 06:00:00+00:00,3683.26,3698.0,3682.0,3696.5,1925.3692
25,2024-12-01 06:15:00+00:00,3696.5,3704.54,3691.8,3700.21,2110.0117
26,2024-12-01 06:30:00+00:00,3700.21,3705.67,3696.29,3699.6,2061.4381
27,2024-12-01 06:45:00+00:00,3699.59,3703.95,3697.6,3699.86,1579.0927
28,2024-12-01 07:00:00+00:00,3699.87,3700.61,3693.84,3693.85,1916.7505
29,2024-12-01 07:15:00+00:00,3693.85,3713.0,3693.7,3712.7,2105.0
30,2024-12-01 07:30:00+00:00,3712.71,3716.96,3704.6,3706.5,3287.3138
31,2024-12-01 07:45:00+00:00,3706.5,3710.89,3701.18,3702.31,2374.3301
32,2024-12-01 08:00:00+00:00,3702.32,3713.46,3698.71,3712.59,3278.9174
33,2024-12-01 08:15:00+00:00,3712.59,3717.0,3705.81,3710.36,4931.2553
34,2024-12-01 08:30:00+00:00,3710.37,3716.69,3705.02,3712.0,4681.5863
35,2024-12-01 08:45:00+00:00,3712.0,3713.65,3703.0,3707.62,3686.8201
36,2024-12-01 09:00:00+00:00,3707.61,3710.83,3698.05,3700.81,3878.6054
37,2024-12-01 09:15:00+00:00,3700.8,3704.0,3693.21,3694.9,2673.9553
38,2024-12-01 09:30:00+00:00,3694.9,3705.49,3690.78,3703.66,3046.2788
39,2024-12-01 09:45:00+00:00,3703.66,3703.82,3699.34,3700.7,1454.616
40,2024-12-01 10:00:00+00:00,3700.7,3701.05,3691.18,3692.02,2061.8264
41,2024-12-01 10:15:00+00:00,3692.02,3695.01,3686.8,3691.0,2568.3407
42,2024-12-01 10:30:00+00:00,3691.0,3691.0,3675.47,3684.01,5111.7986
43,2024-12-01 10:45:00+00:00,3684.02,3686.84,3679.83,3682.25,2455.5701
44,2024-12-01 11:00:00+00:00,3682.25,3689.5,3682.25,3684.2,4745.7302
45,2024-12-01 11:15:00+00:00,3684.2,3698.67,3677.59,3694.06,10800.4599
46,2024-12-01 11:30:00+00:00,3694.06,3697.65,3687.75,3692.58,2891.3377
47,2024-12-01 11:45:00+00:00,3692.57,3694.3,3685.7,3692.42,3191.1757
48,2024-12-01 12:00:00+00:00,3692.43,3695.2,3688.0,3689.97,2561.3242
49,2024-12-01 12:15:00+00:00,3689.98,3692.32,3683.6,3687.76,2529.0285
