,time,open,high,low,close,volume
0,2024-12-01 00:00:00+00:00,237.6,238.67,237.01,238.57,28146.21
1,2024-12-01 00:15:00+00:00,238.56,239.08,238.31,239.08,20379.939
2,2024-12-01 00:30:00+00:00,239.08,239.89,237.58,238.19,33853.551
3,2024-12-01 00:45:00+00:00,238.19,239.28,237.46,237.57,37463.193
4,2024-12-01 01:00:00+00:00,237.57,238.52,237.01,237.43,31422.64
5,2024-12-01 01:15:00+00:00,237.44,238.32,236.51,238.22,44398.646
6,2024-12-01 01:30:00+00:00,238.21,239.5,237.91,239.22,28981.395
7,2024-12-01 01:45:00+00:00,239.22,239.68,236.74,236.89,26239.975
8,2024-12-01 02:00:00+00:00,236.9,237.4,235.49,236.26,54868.113
9,2024-12-01 02:15:00+00:00,236.28,236.74,235.26,236.24,31519.334
10,2024-12-01 02:30:00+00:00,236.25,236.3,234.6,234.8,47515.145
11,2024-12-01 02:45:00+00:00,234.81,235.45,234.1,234.56,27950.403
12,2024-12-01 03:00:00+00:00,234.57,236.1,234.5,235.93,22381.719
13,2024-12-01 03:15:00+00:00,235.94,236.26,235.23,235.56,19635.649
14,2024-12-01 03:30:00+00:00,235.55,235.84,235.34,235.69,12484.465
15,2024-12-01 03:45:00+00:00,235.68,236.45,235.54,235.67,20235.539
16,2024-12-01 04:00:00+00:00,235.66,235.75,235.29,235.64,12665.842
17,2024-12-01 04:15:00+00:00,235.64,236.35,235.04,236.31,17022.414
18,2024-12-01 04:30:00+00:00,236.31,236.89,236.27,236.28,10975.409
19,2024-12-01 04:45:00+00:00,236.28,236.86,236.24,236.72,12489.689
20,2024-12-01 05:00:00+00:00,236.71,236.71,236.03,236.31,10903.71
21,2024-12-01 05:15:00+00:00,236.31,236.76,236.14,236.22,12164.982
22,2024-12-01 05:30:00+00:00,236.22,236.33,235.55,236.2,25666.972
23,2024-12-01 05:45:00+00:00,236.19,236.28,235.21,235.31,22799.686
24,2024-12-01 06:00:00+00:00,235.31,236.24,235.02,236.1,16266.988
25,2024-12-01 06:15:00+00:00,236.1,236.46,236.02,236.06,11855.21
26,2024-12-01 06:30:00+00:00,236.05,236.33,235.86,235.9,15647.566
27,2024-12-01 06:45:00+00:00,235.9,236.31,235.58,235.61,11013.609
28,2024-12-01 07:00:00+00:00,235.6,235.79,235.3,235.38,11404.028
29,2024-12-01 07:15:00+00:00,235.38,236.43,235.37,236.34,13420.863
30,2024-12-01 07:30:00+00:00,236.33,236.44,235.8,235.91,8823.879
31,2024-12-01 07:45:00+00:00,235.91,236.09,235.41,235.46,42514.532
32,2024-12-01 08:00:00+00:00,235.46,236.1,235.35,236.08,26328.116
33,2024-12-01 08:15:00+00:00,236.09,236.86,235.97,236.56,55273.732
34,2024-12-01 08:30:00+00:00,236.56,237.7,236.23,237.69,50437.045
35,2024-12-01 08:45:00+00:00,237.69,238.74,237.48,238.5,56116.386
36,2024-12-01 09:00:00+00:00,238.5,238.67,237.56,237.72,26289.367
37,2024-12-01 09:15:00+00:00,237.72,237.87,236.82,237.11,45004.739
38,2024-12-01 09:30:00+00:00,237.11,237.71,236.95,237.66,19011.201
39,2024-12-01 09:45:00+00:00,237.67,237.67,237.38,237.56,11228.233
40,2024-12-01 10:00:00+00:00,237.55,237.63,236.89,237.05,10291.474
41,2024-12-01 10:15:00+00:00,237.05,237.05,236.6,236.79,11323.287
42,2024-12-01 10:30:00+00:00,236.79,236.86,235.52,236.18,18855.166
43,2024-12-01 10:45:00+00:00,236.18,236.34,235.76,236.16,18657.456
44,2024-12-01 11:00:00+00:00,236.16,236.65,236.06,236.47,10359.884
45,2024-12-01 11:15:00+00:00,236.47,237.18,236.25,237.12,12823.088
46,2024-12-01 11:30:00+00:00,237.11,237.28,236.68,236.7,17662.129
47,2024-12-01 11:45:00+00:00,236.69,237.13,236.5,237.09,16922.781
48,2024-12-01 12:00:00+00:00,237.09,237.36,236.85,237.15,22828.923
49,2024-12-01 12:15:00+00:00,237.14,237.36,236.7,237.08,11465.881
50,2024-12-01 12:30:00+00:00,237.08,237.29,236.52,237.27,18688.042
51,2024-12-01 12:45:00+00:00,237.27,237.28,236.65,236.96,18196.255
52,2024-12-01 13:00:00+00:00,236.96,237.51,236.15,237.5,34179.305
53,2024-12-01 13:15:00+00:00,237.51,238.42,237.32,238.18,62328.769
54,2024-12-01 13:30:00+00:00,238.17,238.45,237.43,237.64,25369.3
